RoomID, ItemType, PosX, PosY
Room_0_0, Heart, 100, 150
Room_0_0, RedPotion, 200, 250
Room_0_0, BluePotion, 150, 100
Room_0_0, GreenPotion, 220, 180
Room_0_0, RedRupee, 300, 200
Room_0_0, BlueRupee, 180, 220
Room_0_0, GreenRupee, 50, 75
Room_0_0, Apple, 125, 130
Room_0_0, Crystal, 150, 180
Room_0_1, BluePotion, 150, 100
Room_0_1, GreenPotion, 220, 180
Room_1_0, RedRupee, 300, 200
Room_1_0, BlueRupee, 180, 220
Room_1_1, GreenRupee, 50, 75
Room_1_1, Apple, 125, 130
Room_2_2, Heart, 175, 275
Room_2_2, BluePotion, 250, 180
Room_2_2, Crystal, 150, 180
